EmployeeNumber,EmployeeFirstName,EmployeeMiddleName,EmployeeLastName,EmployeeGovernmentID,DateOfBirth,Department
440,Phyllis,A.,Lutes,VH619711Z,3/9/1982,Customer Relations
441,Marvin,N.,Lunt,IN674727P,1/11/1983,Customer Relations
442,Michael,,Lundahl,LD662489Y,1/10/1975,Commercial
443,Cecil,J.,Lum,LJ507613Y,6/5/1969,Commercial
444,Oscar,L.,Lugo,YO636564G,2/21/1970,Litigation
445,Sandra,J.,Lugo,OS518276R,8/13/1968,HR
446,Selena,R.,Lucerne,UF703877T,5/29/1967,Litigation
447,Emilio,R.,Low,MC098719T,2/9/1983,Commercial
448,Maxwell,J.,Los,NJ307604V,7/2/1979,Litigation
449,Mae,N.,Looney,MT489495A,8/7/1987,HR
450,Ramona,J.,Long,TT388555J,1/13/1978,Customer Relations
451,Sabria,B.,Loh,SK675578R,9/21/1976,Commercial
452,Hannah,R.,Loh,MI808670I,2/10/1989,HR
453,Kyley,J.,Logan,DP124526M,8/18/1966,Commercial
454,Tom,H,Lloyd,CJ772045F,7/8/1989,Litigation
455,Thomas,B.,Liu,QO196974T,1/25/1967,HR
456,John,,Liu,EO345530S,3/2/1969,Commercial
457,Chris,,Liu,TR317101T,11/30/1986,Customer Relations
458,Teresa,,Liu,VC676849Z,9/16/1969,Litigation
459,John,P.,Liu,NQ063975E,9/29/1974,Litigation
460,Robert,A.,Liu,FC072558N,1/22/1993,HR
461,Stephen,M.,Liu,GZ901112R,7/2/1981,Litigation
462,Phillip,M.,Lisboa,DT436296X,10/21/1983,Litigation
463,Daniel,,Lique,KH896975P,10/10/1982,Litigation
464,Cory,K.,Li,AK761767X,9/17/1983,Commercial
465,James,B.,Li,GN752104A,1/10/1989,Commercial
466,Douglas,A.,Li,PR004016X,12/29/1977,Litigation
467,Jennifer,B.,Li,PD311017T,5/5/1970,HR
468,Alberto,F.,Li,EO294854X,2/24/1974,Commercial
469,Wayne,N.,Li,CH327461T,1/7/1992,Litigation
470,Darrell,M.,Lewin,LM569285K,2/3/1971,HR
471,Angela,,Lew,BE261126N,12/12/1977,Litigation
472,David,,Levy,FQ969656S,3/13/1989,Customer Relations
473,Robert,L.,Leste,YT950353C,6/30/1991,Litigation
474,Rebecca,R.,Lesko,RK327843M,12/28/1978,Customer Relations
475,Brenda,L.,Lertpiriyasuwat,YM329012E,11/29/1993,Litigation
476,Josh,,Lepro,JJ763410Z,12/23/1986,HR
477,Adam,,Leonetti,JO584630S,10/31/1965,Litigation
478,Norma,N.,Lengel,XI484254B,1/23/1970,Litigation
479,Gytis,M,Lenehan,YQ280842N,8/30/1984,HR
480,David,M.,Lee,NP249798H,11/6/1990,HR
481,Karel,E.,Lee,UH615336C,5/17/1981,HR
482,Ciro,J.,Lee,FA224378G,4/5/1976,Litigation
483,Glenna,L.,Lee,OL738237H,6/21/1981,Customer Relations
484,Shaun,,Lee,UY460589M,10/12/1987,HR
485,John,A.,Lee,HO464614U,1/21/1989,Commercial
486,Christopher,R.,Leavitt,PN336893F,1/6/1979,Customer Relations
487,Bradley,,Lawrence,WP814916O,10/27/1991,Customer Relations
488,Benjamin,J.,Lawrence,AP038188P,7/10/1979,Commercial
489,Ann,,Laursen,XM041268G,11/7/1982,Customer Relations
490,Shane,J.,Laszlo,SK840813R,3/14/1983,Litigation
491,Stanley,A.,Laszlo,OA642432C,2/4/1980,HR
492,Mason,,Lang,AD453145P,4/28/1971,Litigation
493,John,M.,LaMee,PY449288E,11/9/1974,HR
494,Ido,,Kurtz,WQ673813W,1/27/1990,Commercial
495,Edna,J.,Kurniawan,CB355747J,3/21/1990,Customer Relations
496,Payton,P.,Kurjan,RL241334F,5/23/1994,Litigation
497,Max,,Kuppa,NS810954D,9/19/1966,HR
498,Scot,A.,Kuppa,KK622926V,11/6/1987,Commercial
499,Richard,M.,Kung,EF951062V,12/20/1987,Commercial
500,Marian,M.,Kumar,NS657893K,8/18/1986,Commercial
501,Karen,,Krupka,JW164705E,3/28/1969,HR
502,Alexander,J.,Krow,QL771323P,9/18/1980,Customer Relations
503,John,M.,Krebs,AL838464G,3/8/1984,HR
504,Kris,R.,Krapauskas,AZ244328I,3/10/1989,Commercial
505,Andreas,,Krane,EW931616P,12/29/1992,HR
506,Robert,M.,Krane,BH923363N,9/24/1981,Litigation
507,Matthias,,Krane,XA047249X,7/29/1992,HR
508,John,,Kramer,SS665588B,12/20/1983,HR
509,Steven,B.,Kramer,EG786204K,4/26/1982,Litigation
510,Chris,N.,Kozlowski,JW849375J,3/8/1984,Customer Relations
511,Mary,B.,Kotc,VV394167D,12/19/1985,Commercial
512,Jimmy,,Koski,RM439829W,3/1/1973,HR
513,Mary,,Konersmann,IF501313U,4/19/1986,Commercial
514,Mae,M.,Komosinski,AP601550K,3/7/1975,Commercial
515,Jackie,E.,Kogan,KN229596C,2/22/1970,HR
516,Donald,L.,Kogan,IW663426C,12/19/1978,Litigation
517,Linda,E.,Koenigsbauer,EO498149W,8/15/1967,Litigation
518,Michael,Greg,Koch,OO887062J,11/13/1979,Litigation
519,Gabriel,L.,Koch,JC993060M,5/17/1983,Litigation
520,Michael,L.,Kobylinski,KU347497G,2/20/1987,Customer Relations
521,Corinna,,Kleinerman,XF305202I,9/25/1977,HR
522,Luis,,Kleinerman,GJ664838C,5/31/1966,Litigation
523,Randall,,Kitt,DZ698253K,9/7/1988,Litigation
524,Stephanie,,Kirilov,BZ552692Z,4/20/1988,Litigation
525,Eli,,King,GB266018T,5/4/1984,HR
526,Lester,J.,King,QZ577382K,1/31/1978,Litigation
527,David,M.,King,WZ121665C,9/26/1966,Commercial
528,Cornelius,L.,Kim,SS617572D,2/27/1990,Customer Relations
529,Richard,,Kim,CJ293123E,6/9/1993,Customer Relations
530,Sara,N.,Kim,TH387054W,7/4/1982,Commercial
531,Ted,,Kim,CU014138B,6/27/1973,Customer Relations
532,Alan,,Kim,WA291184B,12/22/1984,HR
533,Walter,J.,Kharatishvili,RZ087464X,8/21/1990,Commercial
534,Christopher,M.,Khanna,KX676859Q,4/23/1966,Commercial
535,Carol,J.,Khanna,ZO156025I,5/8/1974,Customer Relations
536,David,J.,Khan,CL971918B,12/18/1978,Customer Relations
537,John,R.,Khan,GI028567P,7/11/1967,Commercial
538,Willie,P.,Keyser,IK416008Q,2/25/1983,Commercial
539,Carolee,J.,Keyser,BR148687P,3/13/1980,Commercial
540,Jo,,Kesterson,RJ553964V,7/13/1984,Litigation
541,Robert,,Kesslep,XO446157W,7/13/1983,Commercial
542,Kevin,F.,Kennedy,HJ893685X,10/7/1973,HR
543,Mary,K.,Kennedy,YU505263D,7/12/1985,HR
544,Dave,P.,Kennedy,TD955309F,5/8/1975,Customer Relations
545,Bridget,E.,Kelly,SL137837D,5/22/1987,Customer Relations
546,Eric,J.,Kelly,GW670458T,1/8/1967,Litigation
547,Dick,R.,Kelley,LE230410I,9/3/1977,Litigation
548,Michael,,Keil,WU705086J,8/29/1989,Litigation
549,Shirley,R.,Keil,JF740481P,1/17/1990,Customer Relations
550,June,B.,Kearney,LP833182K,10/27/1978,Litigation
551,Dirk,J.,Kearney,UJ680629S,1/18/1990,Customer Relations
552,Nancy,,Katyal,SU570300K,2/19/1991,Commercial
553,Janaina Barreiro Gambaro,,Kane,HS614741D,7/7/1986,Customer Relations
554,Edward,T.,Kane,VY719961K,4/28/1979,Commercial
555,Megan,E.,Kane,NC902800N,2/17/1990,Commercial
556,Ingrid,K.,Kane,QD685132U,2/7/1977,Litigation
557,Karren,K.,Kaliyath,ZV124333L,7/11/1993,Customer Relations
